Rapport;Period;Region;Yrkesomrade;Omsattning_msek
Q4_2025;2025-Q4;Stockholm;IT;541
Q4_2025;2025-Q4;Stockholm;Lager & Logistik;420
Q4_2025;2025-Q4;Stockholm;Ekonomi & Finans;274
Q4_2025;2025-Q4;Stockholm;Administration & Service;226
Q4_2025;2025-Q4;Stockholm;Teknik;198
Q4_2025;2025-Q4;Stockholm;Industri & Tillverkning;179
Q4_2025;2025-Q4;Stockholm;Hälso- & Sjukvård;85
Q4_2025;2025-Q4;Stockholm;Övrigt;79
Q4_2025;2025-Q4;Stockholm;Försäljning & Kundtjänst;63
Q4_2025;2025-Q4;Stockholm;Life Science;27
Q4_2025;2025-Q4;Västsverige;Industri & Tillverkning;800
Q4_2025;2025-Q4;Västsverige;Lager & Logistik;568
Q4_2025;2025-Q4;Västsverige;IT;369
Q4_2025;2025-Q4;Västsverige;Teknik;108
Q4_2025;2025-Q4;Västsverige;Administration & Service;87
Q4_2025;2025-Q4;Västsverige;Ekonomi & Finans;80
Q4_2025;2025-Q4;Västsverige;Övrigt;51
Q4_2025;2025-Q4;Västsverige;Försäljning & Kundtjänst;44
Q4_2025;2025-Q4;Västsverige;Hälso- & Sjukvård;43
Q4_2025;2025-Q4;Västsverige;Life Science;13
Q4_2025;2025-Q4;Östra Mellansverige;Industri & Tillverkning;386
Q4_2025;2025-Q4;Östra Mellansverige;Lager & Logistik;358
Q4_2025;2025-Q4;Östra Mellansverige;Teknik;150
Q4_2025;2025-Q4;Östra Mellansverige;Administration & Service;72
Q4_2025;2025-Q4;Östra Mellansverige;IT;67
Q4_2025;2025-Q4;Östra Mellansverige;Ekonomi & Finans;61
Q4_2025;2025-Q4;Östra Mellansverige;Övrigt;48
Q4_2025;2025-Q4;Östra Mellansverige;Hälso- & Sjukvård;41
Q4_2025;2025-Q4;Östra Mellansverige;Försäljning & Kundtjänst;18
Q4_2025;2025-Q4;Östra Mellansverige;Life Science;3
Q4_2025;2025-Q4;Sydsverige;Industri & Tillverkning;314
Q4_2025;2025-Q4;Sydsverige;Lager & Logistik;263
Q4_2025;2025-Q4;Sydsverige;Teknik;84
Q4_2025;2025-Q4;Sydsverige;Ekonomi & Finans;76
Q4_2025;2025-Q4;Sydsverige;IT;60
Q4_2025;2025-Q4;Sydsverige;Administration & Service;56
Q4_2025;2025-Q4;Sydsverige;Övrigt;34
Q4_2025;2025-Q4;Sydsverige;Hälso- & Sjukvård;26
Q4_2025;2025-Q4;Sydsverige;Försäljning & Kundtjänst;26
Q4_2025;2025-Q4;Sydsverige;Life Science;5
Q4_2025;2025-Q4;Småland och öarna;Industri & Tillverkning;147
Q4_2025;2025-Q4;Småland och öarna;Lager & Logistik;119
Q4_2025;2025-Q4;Småland och öarna;Administration & Service;36
Q4_2025;2025-Q4;Småland och öarna;Hälso- & Sjukvård;29
Q4_2025;2025-Q4;Småland och öarna;Övrigt;22
Q4_2025;2025-Q4;Småland och öarna;Teknik;18
Q4_2025;2025-Q4;Småland och öarna;IT;8
Q4_2025;2025-Q4;Småland och öarna;Ekonomi & Finans;8
Q4_2025;2025-Q4;Småland och öarna;Försäljning & Kundtjänst;5
Q4_2025;2025-Q4;Småland och öarna;Life Science;1
Q4_2025;2025-Q4;Norra Mellansverige;Industri & Tillverkning;172
Q4_2025;2025-Q4;Norra Mellansverige;Lager & Logistik;54
Q4_2025;2025-Q4;Norra Mellansverige;Teknik;37
Q4_2025;2025-Q4;Norra Mellansverige;Hälso- & Sjukvård;33
Q4_2025;2025-Q4;Norra Mellansverige;Övrigt;24
Q4_2025;2025-Q4;Norra Mellansverige;Administration & Service;20
Q4_2025;2025-Q4;Norra Mellansverige;IT;12
Q4_2025;2025-Q4;Norra Mellansverige;Ekonomi & Finans;8
Q4_2025;2025-Q4;Norra Mellansverige;Försäljning & Kundtjänst;3
Q4_2025;2025-Q4;Norra Mellansverige;Life Science;0
Q4_2025;2025-Q4;Mellersta Norrland;Industri & Tillverkning;155
Q4_2025;2025-Q4;Mellersta Norrland;Lager & Logistik;18
Q4_2025;2025-Q4;Mellersta Norrland;Hälso- & Sjukvård;18
Q4_2025;2025-Q4;Mellersta Norrland;Övrigt;17
Q4_2025;2025-Q4;Mellersta Norrland;Teknik;17
Q4_2025;2025-Q4;Mellersta Norrland;Administration & Service;15
Q4_2025;2025-Q4;Mellersta Norrland;Försäljning & Kundtjänst;10
Q4_2025;2025-Q4;Mellersta Norrland;Ekonomi & Finans;9
Q4_2025;2025-Q4;Mellersta Norrland;IT;7
Q4_2025;2025-Q4;Mellersta Norrland;Life Science;0
Q4_2025;2025-Q4;Övre Norrland;Industri & Tillverkning;81
Q4_2025;2025-Q4;Övre Norrland;Lager & Logistik;48
Q4_2025;2025-Q4;Övre Norrland;Övrigt;34
Q4_2025;2025-Q4;Övre Norrland;Hälso- & Sjukvård;22
Q4_2025;2025-Q4;Övre Norrland;Teknik;22
Q4_2025;2025-Q4;Övre Norrland;Administration & Service;17
Q4_2025;2025-Q4;Övre Norrland;Ekonomi & Finans;14
Q4_2025;2025-Q4;Övre Norrland;Försäljning & Kundtjänst;10
Q4_2025;2025-Q4;Övre Norrland;IT;9
Q4_2025;2025-Q4;Övre Norrland;Life Science;0
