Datum;Roll;Grupp;Kommun;Antal annonser
2026-05-18;Kundtjänstmedarbetare;Volym / cykel;Stockholm;96
2026-05-18;Kundtjänstmedarbetare;Volym / cykel;Göteborg;32
2026-05-18;Kundtjänstmedarbetare;Volym / cykel;Linköping;18
2026-05-18;Kundtjänstmedarbetare;Volym / cykel;Malmö;17
2026-05-18;Kundtjänstmedarbetare;Volym / cykel;Helsingborg;13
2026-05-18;Ekonomiassistent;Volym / cykel;Stockholm;29
2026-05-18;Ekonomiassistent;Volym / cykel;Linköping;11
2026-05-18;Ekonomiassistent;Volym / cykel;Göteborg;9
2026-05-18;Ekonomiassistent;Volym / cykel;Jönköping;9
2026-05-18;Ekonomiassistent;Volym / cykel;Malmö;6
2026-05-18;Lagerarbetare;Volym / cykel;Stockholm;78
2026-05-18;Lagerarbetare;Volym / cykel;Göteborg;78
2026-05-18;Lagerarbetare;Volym / cykel;Jönköping;48
2026-05-18;Lagerarbetare;Volym / cykel;Borås;26
2026-05-18;Lagerarbetare;Volym / cykel;Helsingborg;25
2026-05-18;Business Controller;Framåtblickande signal;Stockholm;55
2026-05-18;Business Controller;Framåtblickande signal;Göteborg;21
2026-05-18;Business Controller;Framåtblickande signal;Västerås;13
2026-05-18;Business Controller;Framåtblickande signal;Ludvika;12
2026-05-18;Business Controller;Framåtblickande signal;Linköping;5
2026-05-18;Systemutvecklare;Framåtblickande signal;Stockholm;427
2026-05-18;Systemutvecklare;Framåtblickande signal;Göteborg;221
2026-05-18;Systemutvecklare;Framåtblickande signal;Linköping;81
2026-05-18;Systemutvecklare;Framåtblickande signal;Malmö;54
2026-05-18;Systemutvecklare;Framåtblickande signal;Lund;51
2026-05-18;Mekanikkonstruktör;Struktur / transformation;Stockholm;110
2026-05-18;Mekanikkonstruktör;Struktur / transformation;Linköping;102
2026-05-18;Mekanikkonstruktör;Struktur / transformation;Göteborg;79
2026-05-18;Mekanikkonstruktör;Struktur / transformation;Karlskrona;26
2026-05-18;Mekanikkonstruktör;Struktur / transformation;Västerås;25
2026-05-18;Elingenjör;Struktur / transformation;Stockholm;151
2026-05-18;Elingenjör;Struktur / transformation;Göteborg;96
2026-05-18;Elingenjör;Struktur / transformation;Västerås;64
2026-05-18;Elingenjör;Struktur / transformation;Ludvika;56
2026-05-18;Elingenjör;Struktur / transformation;Linköping;31
2026-05-18;Sjuksköterska;Strukturell brist;Stockholm;137
2026-05-18;Sjuksköterska;Strukturell brist;Uppsala;73
2026-05-18;Sjuksköterska;Strukturell brist;Malmö;56
2026-05-18;Sjuksköterska;Strukturell brist;Göteborg;50
2026-05-18;Sjuksköterska;Strukturell brist;Linköping;48
2026-05-18;Undersköterska;Strukturell brist;Stockholm;98
2026-05-18;Undersköterska;Strukturell brist;Göteborg;27
2026-05-18;Undersköterska;Strukturell brist;Norrtälje;25
2026-05-18;Undersköterska;Strukturell brist;Nacka;20
2026-05-18;Undersköterska;Strukturell brist;Linköping;18
2026-05-19;Kundtjänstmedarbetare;Volym / cykel;Stockholm;98
2026-05-19;Kundtjänstmedarbetare;Volym / cykel;Göteborg;29
2026-05-19;Kundtjänstmedarbetare;Volym / cykel;Linköping;18
2026-05-19;Kundtjänstmedarbetare;Volym / cykel;Malmö;17
2026-05-19;Kundtjänstmedarbetare;Volym / cykel;Helsingborg;12
2026-05-19;Ekonomiassistent;Volym / cykel;Stockholm;30
2026-05-19;Ekonomiassistent;Volym / cykel;Linköping;10
2026-05-19;Ekonomiassistent;Volym / cykel;Göteborg;9
2026-05-19;Ekonomiassistent;Volym / cykel;Jönköping;7
2026-05-19;Ekonomiassistent;Volym / cykel;Malmö;4
2026-05-19;Lagerarbetare;Volym / cykel;Stockholm;76
2026-05-19;Lagerarbetare;Volym / cykel;Göteborg;76
2026-05-19;Lagerarbetare;Volym / cykel;Jönköping;48
2026-05-19;Lagerarbetare;Volym / cykel;Helsingborg;29
2026-05-19;Lagerarbetare;Volym / cykel;Norrköping;26
2026-05-19;Business Controller;Framåtblickande signal;Stockholm;56
2026-05-19;Business Controller;Framåtblickande signal;Göteborg;22
2026-05-19;Business Controller;Framåtblickande signal;Västerås;13
2026-05-19;Business Controller;Framåtblickande signal;Ludvika;12
2026-05-19;Business Controller;Framåtblickande signal;Linköping;5
2026-05-19;Systemutvecklare;Framåtblickande signal;Stockholm;438
2026-05-19;Systemutvecklare;Framåtblickande signal;Göteborg;218
2026-05-19;Systemutvecklare;Framåtblickande signal;Linköping;82
2026-05-19;Systemutvecklare;Framåtblickande signal;Malmö;54
2026-05-19;Systemutvecklare;Framåtblickande signal;Lund;51
2026-05-19;Mekanikkonstruktör;Struktur / transformation;Stockholm;108
2026-05-19;Mekanikkonstruktör;Struktur / transformation;Linköping;103
2026-05-19;Mekanikkonstruktör;Struktur / transformation;Göteborg;82
2026-05-19;Mekanikkonstruktör;Struktur / transformation;Västerås;28
2026-05-19;Mekanikkonstruktör;Struktur / transformation;Karlskrona;26
2026-05-19;Elingenjör;Struktur / transformation;Stockholm;153
2026-05-19;Elingenjör;Struktur / transformation;Göteborg;94
2026-05-19;Elingenjör;Struktur / transformation;Västerås;66
2026-05-19;Elingenjör;Struktur / transformation;Ludvika;57
2026-05-19;Elingenjör;Struktur / transformation;Linköping;30
2026-05-19;Sjuksköterska;Strukturell brist;Stockholm;146
2026-05-19;Sjuksköterska;Strukturell brist;Uppsala;82
2026-05-19;Sjuksköterska;Strukturell brist;Malmö;56
2026-05-19;Sjuksköterska;Strukturell brist;Göteborg;54
2026-05-19;Sjuksköterska;Strukturell brist;Linköping;50
2026-05-19;Undersköterska;Strukturell brist;Stockholm;99
2026-05-19;Undersköterska;Strukturell brist;Göteborg;27
2026-05-19;Undersköterska;Strukturell brist;Norrtälje;25
2026-05-19;Undersköterska;Strukturell brist;Nacka;21
2026-05-19;Undersköterska;Strukturell brist;Varberg;18
2026-05-20;Kundtjänstmedarbetare;Volym / cykel;Stockholm;92
2026-05-20;Kundtjänstmedarbetare;Volym / cykel;Göteborg;30
2026-05-20;Kundtjänstmedarbetare;Volym / cykel;Malmö;20
2026-05-20;Kundtjänstmedarbetare;Volym / cykel;Linköping;18
2026-05-20;Kundtjänstmedarbetare;Volym / cykel;Helsingborg;11
2026-05-20;Ekonomiassistent;Volym / cykel;Stockholm;35
2026-05-20;Ekonomiassistent;Volym / cykel;Linköping;10
2026-05-20;Ekonomiassistent;Volym / cykel;Jönköping;9
2026-05-20;Ekonomiassistent;Volym / cykel;Göteborg;9
2026-05-20;Ekonomiassistent;Volym / cykel;Örebro;4
2026-05-20;Lagerarbetare;Volym / cykel;Stockholm;82
2026-05-20;Lagerarbetare;Volym / cykel;Göteborg;77
2026-05-20;Lagerarbetare;Volym / cykel;Jönköping;49
2026-05-20;Lagerarbetare;Volym / cykel;Helsingborg;28
2026-05-20;Lagerarbetare;Volym / cykel;Borås;26
2026-05-20;Business Controller;Framåtblickande signal;Stockholm;54
2026-05-20;Business Controller;Framåtblickande signal;Göteborg;26
2026-05-20;Business Controller;Framåtblickande signal;Västerås;14
2026-05-20;Business Controller;Framåtblickande signal;Ludvika;12
2026-05-20;Business Controller;Framåtblickande signal;Solna;7
2026-05-20;Systemutvecklare;Framåtblickande signal;Stockholm;444
2026-05-20;Systemutvecklare;Framåtblickande signal;Göteborg;219
2026-05-20;Systemutvecklare;Framåtblickande signal;Linköping;79
2026-05-20;Systemutvecklare;Framåtblickande signal;Malmö;54
2026-05-20;Systemutvecklare;Framåtblickande signal;Lund;54
2026-05-20;Mekanikkonstruktör;Struktur / transformation;Stockholm;107
2026-05-20;Mekanikkonstruktör;Struktur / transformation;Linköping;102
2026-05-20;Mekanikkonstruktör;Struktur / transformation;Göteborg;82
2026-05-20;Mekanikkonstruktör;Struktur / transformation;Karlskrona;27
2026-05-20;Mekanikkonstruktör;Struktur / transformation;Västerås;25
2026-05-20;Elingenjör;Struktur / transformation;Stockholm;152
2026-05-20;Elingenjör;Struktur / transformation;Göteborg;96
2026-05-20;Elingenjör;Struktur / transformation;Västerås;66
2026-05-20;Elingenjör;Struktur / transformation;Ludvika;56
2026-05-20;Elingenjör;Struktur / transformation;Linköping;31
2026-05-20;Sjuksköterska;Strukturell brist;Stockholm;150
2026-05-20;Sjuksköterska;Strukturell brist;Uppsala;86
2026-05-20;Sjuksköterska;Strukturell brist;Göteborg;55
2026-05-20;Sjuksköterska;Strukturell brist;Linköping;52
2026-05-20;Sjuksköterska;Strukturell brist;Malmö;52
2026-05-20;Undersköterska;Strukturell brist;Stockholm;99
2026-05-20;Undersköterska;Strukturell brist;Norrtälje;27
2026-05-20;Undersköterska;Strukturell brist;Göteborg;25
2026-05-20;Undersköterska;Strukturell brist;Nacka;20
2026-05-20;Undersköterska;Strukturell brist;Varberg;18
2026-05-21;Kundtjänstmedarbetare;Volym / cykel;Stockholm;83
2026-05-21;Kundtjänstmedarbetare;Volym / cykel;Göteborg;27
2026-05-21;Kundtjänstmedarbetare;Volym / cykel;Malmö;22
2026-05-21;Kundtjänstmedarbetare;Volym / cykel;Linköping;18
2026-05-21;Kundtjänstmedarbetare;Volym / cykel;Helsingborg;13
2026-05-21;Ekonomiassistent;Volym / cykel;Stockholm;35
2026-05-21;Ekonomiassistent;Volym / cykel;Linköping;10
2026-05-21;Ekonomiassistent;Volym / cykel;Göteborg;9
2026-05-21;Ekonomiassistent;Volym / cykel;Jönköping;8
2026-05-21;Ekonomiassistent;Volym / cykel;Örebro;4
2026-05-21;Lagerarbetare;Volym / cykel;Stockholm;81
2026-05-21;Lagerarbetare;Volym / cykel;Göteborg;77
2026-05-21;Lagerarbetare;Volym / cykel;Jönköping;49
2026-05-21;Lagerarbetare;Volym / cykel;Borås;30
2026-05-21;Lagerarbetare;Volym / cykel;Helsingborg;26
2026-05-21;Business Controller;Framåtblickande signal;Stockholm;55
2026-05-21;Business Controller;Framåtblickande signal;Göteborg;29
2026-05-21;Business Controller;Framåtblickande signal;Västerås;14
2026-05-21;Business Controller;Framåtblickande signal;Ludvika;12
2026-05-21;Business Controller;Framåtblickande signal;Solna;7
2026-05-21;Systemutvecklare;Framåtblickande signal;Stockholm;455
2026-05-21;Systemutvecklare;Framåtblickande signal;Göteborg;214
2026-05-21;Systemutvecklare;Framåtblickande signal;Linköping;80
2026-05-21;Systemutvecklare;Framåtblickande signal;Lund;59
2026-05-21;Systemutvecklare;Framåtblickande signal;Malmö;58
2026-05-21;Mekanikkonstruktör;Struktur / transformation;Stockholm;107
2026-05-21;Mekanikkonstruktör;Struktur / transformation;Linköping;100
2026-05-21;Mekanikkonstruktör;Struktur / transformation;Göteborg;76
2026-05-21;Mekanikkonstruktör;Struktur / transformation;Finspång;26
2026-05-21;Mekanikkonstruktör;Struktur / transformation;Malmö;25
2026-05-21;Elingenjör;Struktur / transformation;Stockholm;152
2026-05-21;Elingenjör;Struktur / transformation;Göteborg;93
2026-05-21;Elingenjör;Struktur / transformation;Västerås;61
2026-05-21;Elingenjör;Struktur / transformation;Ludvika;60
2026-05-21;Elingenjör;Struktur / transformation;Linköping;29
2026-05-21;Sjuksköterska;Strukturell brist;Stockholm;152
2026-05-21;Sjuksköterska;Strukturell brist;Uppsala;84
2026-05-21;Sjuksköterska;Strukturell brist;Malmö;53
2026-05-21;Sjuksköterska;Strukturell brist;Linköping;50
